census_tract,num_bll_indicator,perc_bll_indicator,num_bll,tract_name,imprisonment_rt,total_pop_2020,male_population,median_age,white,black,native_am,asian,pac_islander,other_race,age_0_to_14,age_15_to_29,age_30_to_44,age_45_to_64,perc_male,med_income,POC_other,race_categorical
06019001409,1,0.8928571428571428,112,"Fresno County, Census Tract 14.09",296,2357,1153,38.1,34,8.5,2.2,19.1,0,19.2,20.4,18.9,18.9,23.299999999999997,48.91811624946967,111250,29.9,above_median_poc_other
06067005702,0,0,61,"Sacramento County, Census Tract 57.02",347,4887,2387,46.6,79.5,1.1,0.3,5,0.3,2.4,19.2,12.8,15.899999999999999,30.5,48.843871495805196,151719,3.8,below_median_poc_other
06037541200,8,2.1333333333333333,375,"Los Angeles County, Census Tract 5412",1112,6048,2803,38,5.2,53.8,1.3,0.6,0.4,30.3,18.799999999999997,19.8,20.4,25.4,46.34589947089947,90328,85.39999999999999,above_median_poc_other
06065044918,0,0,11,"Riverside County, Census Tract 449.18",167,2994,1411,70.3,84.2,2,0,4.9,0.2,2.4,4.5,6.300000000000001,4.5,23.6,47.12758851035404,80000,4.4,below_median_poc_other
06037186201,4,2.73972602739726,146,"Los Angeles County, Census Tract 1862.01",162,3085,1488,40.6,26.1,2.8,0.9,36.7,0.1,17.7,11.3,19.2,26.3,25.2,48.233387358184764,72875,21.4,below_median_poc_other
06037310601,6,2.142857142857143,280,"Los Angeles County, Census Tract 3106.01",115,6085,2895,36.7,48.7,4.8,1.1,17.2,0,14.2,16.099999999999998,19.8,27.400000000000002,24.299999999999997,47.5760065735415,72029,20.1,below_median_poc_other
06037135202,0,0,97,"Los Angeles County, Census Tract 1352.02",114,4399,2175,42.3,61,2.5,0.5,16.3,0.1,6.3,19,16.6,18.4,29.599999999999998,49.44305523982723,107692,9.3,below_median_poc_other
06097152803,5,2.314814814814815,216,"Sonoma County, Census Tract 1528.03",240,4164,2116,34.1,38.4,2,3,5.8,1.3,34.5,22.6,20.5,24.799999999999997,20.3,50.816522574447646,70078,39.5,above_median_poc_other
06067009622,2,1.1173184357541899,179,"Sacramento County, Census Tract 96.22",198,7565,3662,41.5,36.8,11.8,0.4,29.6,0.9,6.7,18.200000000000003,19.2,17.2,29.5,48.407138136153335,130053,18.900000000000002,below_median_poc_other
06065041704,1,0.4807692307692308,208,"Riverside County, Census Tract 417.04",372,3746,1843,28,17,1.1,3.8,2.7,0.1,55.7,25.1,27.700000000000003,20.799999999999997,20.8,49.19914575547251,49894,60.6,above_median_poc_other
06071009130,2,0.43956043956043955,455,"San Bernardino County, Census Tract 91.3",353,5075,2561,28.4,22.9,18.1,3.4,2.6,1.2,37,29.1,23,20.2,19.9,50.463054187192114,55248,58.5,above_median_poc_other
06085505304,0,0,94,"Santa Clara County, Census Tract 5053.04",274,3281,1665,41.7,34.3,0.9,0.2,44.7,0.4,9,14.3,17.799999999999997,22.5,28.4,50.74672355989027,184224,10.1,below_median_poc_other
06019000200,27,8.132530120481928,332,"Fresno County, Census Tract 2",975,3251,1633,27.7,13.5,16.7,2.6,5.5,0.1,39.6,29.7,24.8,18.6,18.599999999999998,50.23069824669333,29583,58.900000000000006,above_median_poc_other
06037265523,1,1.6666666666666667,60,"Los Angeles County, Census Tract 2655.23",159,1884,874,37.4,66.4,1.3,0.2,18.4,0,2.2,12.1,21.4,26.1,22.900000000000002,46.390658174097666,63594,3.7,below_median_poc_other
06037211921,6,3.6809815950920246,163,"Los Angeles County, Census Tract 2119.21",204,2447,1268,36.4,10.5,4,1.8,42.3,0,30.9,14.4,22.4,30.6,24.1,51.81855333060891,37375,36.699999999999996,above_median_poc_other
06103000300,5,2.336448598130841,214,"Tehama County, Census Tract 3",374,4682,2510,44.9,73.2,1.2,2.6,2.6,0.3,10.2,17.299999999999997,15.2,17.4,28.000000000000004,53.60956856044425,61705,14,below_median_poc_other
06113010105,6,4.580152671755725,131,"Yolo County, Census Tract 101.05",446,2008,1022,32.4,45,9.6,2.4,13.2,0.5,12,17.3,25.700000000000003,28.3,21.1,50.896414342629484,41711,24,above_median_poc_other
06095253201,2,3.125,64,"Solano County, Census Tract 2532.01",166,4821,2416,47.3,76.1,2.3,0.8,2.8,0.4,4,16.299999999999997,13.6,17.5,28.000000000000004,50.114084214893175,105000,7.1,below_median_poc_other
06033000602,1,3.571428571428571,28,"Lake County, Census Tract 6.02",1005,2078,1080,56,71.1,2.5,3.7,2.9,0,5.7,12.8,10.8,16.3,29.400000000000002,51.9730510105871,56184,11.9,below_median_poc_other
06071001002,6,1.405152224824356,427,"San Bernardino County, Census Tract 10.02",302,5283,2599,30,18.6,4.2,3.1,2.9,0.4,49.1,24.9,25.3,20.599999999999998,22,49.195532841188715,51031,56.400000000000006,above_median_poc_other
06057000403,0,0,9,"Nevada County, Census Tract 4.03",53,1894,974,50.4,84.2,0.3,1.3,1,0.3,0.8,15.099999999999998,13.5,17.3,28.500000000000004,51.42555438225976,59593,2.4000000000000004,below_median_poc_other
06017031900,0,0,0,"El Dorado County, Census Tract 319",0,155,93,56.3,83.2,1.3,1.3,7.1,0,0,10.3,11,11.6,37.5,60,NA,2.6,below_median_poc_other
06033000401,6,4.081632653061225,147,"Lake County, Census Tract 4.01",352,3115,1509,44.3,73.6,1.3,2.8,2.2,0.1,8.6,17.7,15.7,17.700000000000003,26.299999999999997,48.4430176565008,100132,12.7,below_median_poc_other
06037481201,5,3.289473684210526,152,"Los Angeles County, Census Tract 4812.01",525,3786,1811,40.2,13.9,1,0.8,63,0.1,12.3,16.2,20,19.9,28.099999999999998,47.83412572636028,79423,14.100000000000001,below_median_poc_other
06037534203,1,0.6060606060606061,165,"Los Angeles County, Census Tract 5342.03",387,3088,1512,33.3,14.7,0.8,3.1,0.8,0.1,59.2,21.7,23.4,19.8,22.3,48.96373056994819,36156,63.1,above_median_poc_other
06085503113,3,0.7853403141361256,382,"Santa Clara County, Census Tract 5031.13",346,4604,2354,33.8,18.9,2.3,3.3,8.8,0.2,51,20.3,22.2,24.599999999999998,23.7,51.12945264986968,80476,56.6,above_median_poc_other
06059021816,3,1.675977653631285,179,"Orange County, Census Tract 218.16",82,4895,2387,44.6,66.7,1.1,0.6,10.8,0.2,5.9,17.5,15.600000000000001,17.2,28.5,48.764044943820224,112839,7.6000000000000005,below_median_poc_other
06037199202,2,1.1560693641618496,173,"Los Angeles County, Census Tract 1992.02",784,2785,1363,35.8,20.9,2,2.1,9.5,0.1,41.4,17.8,21.4,24.4,24.8,48.94075403949731,55799,45.5,above_median_poc_other
06013355202,0,0,120,"Contra Costa County, Census Tract 3552.02",162,3689,1797,34.6,16.2,16,0.7,45.4,0.9,8.5,21.700000000000003,19.9,27,23.3,48.71238818107888,112368,25.2,above_median_poc_other
06071000115,3,0.78125,384,"San Bernardino County, Census Tract 1.15",195,9722,4819,35.7,26.1,6.5,0.7,42.4,0.2,9.7,17.9,23.4,21.8,28.1,49.56799012548858,80929,16.9,below_median_poc_other
06111002102,3,9.375,32,"Ventura County, Census Tract 21.02",180,1664,819,47.3,77.2,0.9,1,3.5,0,5.3,6.6,16.9,23.6,30.7,49.21875,57628,7.199999999999999,below_median_poc_other
06047000603,10,3.546099290780142,282,"Merced County, Census Tract 6.03",322,6502,3152,33,42.7,3.3,2.2,3.3,0.4,28.2,25.5,20.8,20.8,21.7,48.47739157182405,60882,33.7,above_median_poc_other
06071001702,3,1.0309278350515463,291,"San Bernardino County, Census Tract 17.02",276,5774,2775,37.6,34.9,4.7,2.1,7,0.3,29.2,18.1,20.8,21.6,23.6,48.060270176653965,61023,36,above_median_poc_other
06037430724,5,2.8089887640449436,178,"Los Angeles County, Census Tract 4307.24",95,5252,2469,39.5,18.5,2.5,0.5,62.8,0.4,8.1,17.8,16.6,23.5,25.9,47.01066260472201,78750,11.1,below_median_poc_other
06037189703,1,1.8867924528301887,53,"Los Angeles County, Census Tract 1897.03",221,2259,1199,36,66.5,7.2,0.4,8.1,0.2,4.6,6.300000000000001,28.6,26.9,25.9,53.07658255865427,106970,12.2,below_median_poc_other
06037403321,0,0,164,"Los Angeles County, Census Tract 4033.21",151,5275,2635,45.4,23.8,4,0.6,47.1,0.1,10.8,12,20.700000000000003,16.7,30.8,49.95260663507109,109924,15.4,below_median_poc_other
06059087503,12,2.5806451612903225,465,"Orange County, Census Tract 875.03",314,6031,2997,32.5,28.4,2.8,2.4,14.2,0.5,37.9,20.4,25.099999999999998,21.9,23.4,49.693251533742334,60945,43.099999999999994,above_median_poc_other
06001407800,1,1.0204081632653061,98,"Alameda County, Census Tract 4078",252,2373,1000,35.4,35,27.8,1.5,9.6,0.4,10.7,16.3,23.799999999999997,25.099999999999998,21.6,42.14075010535188,95804,40,above_median_poc_other
06073020031,1,1.6129032258064515,62,"San Diego County, Census Tract 200.31",135,6659,3203,42,68.6,1.5,0.6,11.3,0.1,3.7,20,15.5,18.9,29.699999999999996,48.10031536266707,113158,5.800000000000001,below_median_poc_other
06007000800,1,1.0752688172043012,93,"Butte County, Census Tract 8",301,5626,2674,41.4,80.5,0.7,1.1,2.2,0.3,4.6,19.3,14.899999999999999,20.1,25.900000000000002,47.52932811944543,76923,6.3999999999999995,below_median_poc_other
06097152502,1,2.857142857142857,35,"Sonoma County, Census Tract 1525.02",171,3498,1676,47,70.3,2,1.2,4.2,0.6,8.4,13.7,15.200000000000001,18.5,26.8,47.913093196112065,72557,11.600000000000001,below_median_poc_other
06065045305,4,1.0582010582010581,378,"Riverside County, Census Tract 453.05",294,4744,2356,34.5,40.3,3.1,1.3,4.4,0.1,26.3,25.9,18.6,25.7,21.400000000000002,49.66273187183811,88056,30.700000000000003,above_median_poc_other
06073003204,5,2.525252525252525,198,"San Diego County, Census Tract 32.04",214,3725,1787,42,32.8,4.3,1.1,13.5,0.5,22.1,16.5,18.7,18.299999999999997,25.9,47.97315436241611,90000,27.5,above_median_poc_other
06053011802,0,0,0,"Monterey County, Census Tract 118.02",128,1566,705,65.1,89.5,0.1,0.8,3.1,0.1,1.7,6.1,7.7,7.6000000000000005,28.299999999999997,45.01915708812261,104881,2.6,below_median_poc_other
06019003003,10,2.6954177897574128,371,"Fresno County, Census Tract 30.03",425,4216,2038,28.9,23.6,8.3,1.5,23.2,0.1,24.2,25.2,27.400000000000002,19.3,16.8,48.339658444022774,45194,34,above_median_poc_other
06059110202,8,1.5904572564612325,503,"Orange County, Census Tract 1102.02",190,7874,3840,35.3,25.7,5.6,1.7,28.9,0.8,24.3,18.700000000000003,23.200000000000003,21.6,25,48.76809753619507,57054,31.6,above_median_poc_other
06065045214,0,0,192,"Riverside County, Census Tract 452.14",166,6009,2907,47.8,66.9,2,0.7,5.9,0,10.4,15.8,14.2,16.2,28.4,48.37743384922616,84857,13.100000000000001,below_median_poc_other
06001422500,4,9.523809523809524,42,"Alameda County, Census Tract 4225",20,5065,2566,22.9,51.2,4.3,0.2,27.7,0.5,7.6,3.5,66.3,14.8,8.600000000000001,50.66140177690029,52917,12.1,below_median_poc_other
06071010032,2,0.4158004158004158,481,"San Bernardino County, Census Tract 100.32",471,6546,3231,29.7,38.9,9.9,1.6,1.8,0.4,31.4,26.3,24.3,19.6,20.1,49.358386801099904,47089,42.9,above_median_poc_other
06097150612,0,0,59,"Sonoma County, Census Tract 1506.12",157,4449,2175,43.8,72.1,1.2,0.9,6,0.2,7.3,14.5,17.3,19.4,30.2,48.88739042481456,128162,9.4,below_median_poc_other
06037214902,2,2.9850746268656714,67,"Los Angeles County, Census Tract 2149.02",112,2668,1239,38.4,72.3,3.9,0.3,12.7,0.1,2.3,6,18.1,36.5,19.1,46.43928035982009,101399,6.5,below_median_poc_other
