GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
860Z200US89010,ZCTA5 89010,188,62,0,18,0,18,17.6,11.7,14.9,10.8,17.6,13.1,18.6,18.2,4.3,5.1,20.7,11.9,3.2,5.2,3.2,4.1,50000,26118,71095,14677,10.6,(X),(X),(X),(X),(X),127,49,0,25.1,0,25.1,2.4,3.4,8.7,11.7,19.7,18.1,27.6,26.1,6.3,7.7,30.7,16.9,4.7,7.7,0,25.1,71307,23908,81910,16125,(X),(X),14.2,(X),(X),(X),115,46,0,27.2,0,27.2,0,27.2,9.6,13,13.9,15.7,30.4,28.2,7,8.3,33.9,18.1,5.2,8.4,0,27.2,71989,32800,N,N,(X),(X),(X),(X),(X),(X),61,33,0,40.8,0,40.8,49.2,25,27.9,21.4,13.1,13,0,40.8,0,40.8,0,40.8,0,40.8,9.8,12.2,25250,7749,48579,26923,(X),(X),(X),(X),3.3,(X)
860Z200US89019,ZCTA5 89019,1150,331,0,3.2,4.4,4.6,24.5,18.7,11.9,8.1,6.9,5.9,8.9,7.2,17,10.8,8.3,7.3,13.7,11,4.3,5.2,51806,44619,109663,52886,35.6,(X),(X),(X),(X),(X),586,189,0,6.2,1,1.7,2.4,4.2,13.1,11.7,13.5,11.6,13.7,12.3,13.1,14.1,22.7,15.7,11.9,12.3,8.5,10.1,97917,48593,164963,99653,(X),(X),50.5,(X),(X),(X),495,184,0,7.3,1.2,2.1,0,7.3,15.6,13.7,10.1,11.7,16.2,14.4,5.9,7.1,26.9,17.9,14.1,13.8,10.1,12.1,109028,77568,N,N,(X),(X),(X),(X),(X),(X),564,293,0,6.4,8,9.7,47.5,28.5,10.6,8.3,0,6.4,3.9,4.7,22,19.1,1.1,2,6.9,12,0,6.4,24701,24589,49620,21540,(X),(X),(X),(X),20,(X)
860Z200US89060,ZCTA5 89060,5129,452,6.7,3.5,5,2.6,9.8,3.5,11.3,4.1,18.6,5.5,19.2,5.8,11.6,4.1,5.6,2.5,3.6,2.2,8.7,3.2,48076,10103,73949,8924,44.5,(X),(X),(X),(X),(X),2908,407,4.2,4.9,4.3,3,8.9,4.2,8,4.2,19.7,7.2,22.7,8.8,7.6,4.5,7,3.3,9.1,4.4,8.6,4.4,56992,11025,86804,14787,(X),(X),45.5,(X),(X),(X),2392,398,5.1,5.8,5.2,3.7,5.7,4.3,5.2,3.4,18.2,7.7,26,10.6,7.2,4.5,5.9,3,11,5.3,10.5,5.3,64208,9255,N,N,(X),(X),(X),(X),(X),(X),2221,348,10,5.1,5.8,4.6,13.1,6.3,15.6,7.1,17.2,8.4,14.6,7,15.1,6.8,3.8,3.5,0,1.7,4.9,2.7,40006,8525,53358,6629,(X),(X),(X),(X),38,(X)
860Z200US89061,ZCTA5 89061,3326,382,2.7,2.1,1.1,1.4,7.2,5.1,8.6,5.1,15.5,5.9,24.9,7.4,12.4,5,21.3,7,4.7,2.5,1.6,1.4,64420,5809,76057,7618,45.4,(X),(X),(X),(X),(X),2432,345,3.2,2.8,0.6,0.9,1.9,1.5,6,5.6,14.5,7,28.5,9.2,15.5,6.7,23.2,7.3,5.6,3.2,0.9,1.1,68606,10381,81879,8358,(X),(X),51.6,(X),(X),(X),2005,320,3.1,3.4,0,1.9,2.3,1.8,7.3,6.8,11.9,6.7,28.7,10.2,17.9,7.9,20.7,7.6,6.8,3.9,1.1,1.4,70643,13054,N,N,(X),(X),(X),(X),(X),(X),894,211,1.3,2.4,2.7,4.8,21.4,16.6,15.5,10.7,21,13.7,15.2,9.5,6,6.1,11.2,8.3,3.4,3.6,2.2,3.8,38766,3860,56346,12656,(X),(X),(X),(X),28.5,(X)
860Z200US89439,ZCTA5 89439,834,110,5,5.6,3.5,4.1,9.7,7.8,8.3,7.5,9.5,6.9,7.2,5.9,12,7.8,14.6,8.2,8.3,5.8,21.9,8.3,88500,26428,127375,28535,18.7,(X),(X),(X),(X),(X),525,108,0,6.9,0,6.9,6.1,6.7,6.3,9.5,8.4,8.3,3.4,3.9,12.2,8.6,19.4,12.3,9.3,7.1,34.9,12,122868,53787,172067,40637,(X),(X),22.5,(X),(X),(X),486,112,0,7.4,0,7.4,6.6,7.2,6.8,10.3,9.1,9.1,3.7,4.2,6.8,8.1,19.3,12.8,10.1,7.7,37.7,12.8,124559,86390,N,N,(X),(X),(X),(X),(X),(X),309,105,13.6,15.5,9.4,11,15.9,18,11.7,12.7,11.3,13.4,13.6,13,11.7,16.1,6.5,9.2,6.5,10.4,0,11.4,-,**,50844,19009,(X),(X),(X),(X),9.7,(X)
860Z200US90001,ZCTA5 90001,13597,578,6,1.3,3.1,1,9.8,1.6,9.6,1.6,15.8,2.4,21,2.8,13.9,2.7,12.6,1.7,5.5,1.1,2.8,1,57698,3245,70484,3902,48.6,(X),(X),(X),(X),(X),11376,576,4.8,1.2,1.9,0.9,7.5,1.6,10.9,2.1,16.6,2.4,21.4,3.2,17,2.7,11.8,1.9,5.9,1.2,2.2,0.9,59176,2474,71731,4499,(X),(X),48.8,(X),(X),(X),6261,413,2,1,1.1,1,7.2,2.2,8.9,2.4,16.8,3.5,24.1,4.9,17,3.5,13.6,2.7,6.3,1.8,3,1.6,63975,3498,N,N,(X),(X),(X),(X),(X),(X),2221,294,16.3,5.6,10.5,3.8,21.9,6.3,11.7,4.5,15.1,5.2,13.4,4.5,3.2,2.4,4.1,2.2,1.1,1.2,2.7,2,26696,6555,41296,6663,(X),(X),(X),(X),38.7,(X)
860Z200US90002,ZCTA5 90002,13013,474,6.9,1.9,8,1.5,10,2.2,8.9,1.7,12.7,2.2,18.2,2.4,14.8,2.4,13,2,4.5,1.4,3.2,1,54221,3344,69610,5476,53.3,(X),(X),(X),(X),(X),10575,487,5.6,1.8,4.4,1.5,10.9,2.3,8.7,1.7,13.7,2.7,19.9,2.6,16.8,2.5,12.3,2.1,4.9,1.5,2.8,1,57212,4144,71695,5963,(X),(X),53.1,(X),(X),(X),4713,428,2,1.4,3.3,1.5,8.3,2.9,6.6,2.2,14,3.6,18.8,3.9,19.8,3.8,15.3,3.9,7.7,2.3,4.2,1.6,70975,5723,88673,11737,(X),(X),(X),(X),(X),(X),2438,273,18,6.1,26.2,5.9,9.2,4.5,13.1,4.3,8,3.7,13,5,5.4,2.9,4,2.6,1.7,2.1,1.3,1.8,21281,8493,37566,7207,(X),(X),(X),(X),46.1,(X)
860Z200US90003,ZCTA5 90003,17936,644,9.2,1.7,6.8,1.4,8.5,1.6,8.9,1.6,15.7,2,17.3,2.1,13.8,1.8,12.2,2,5.1,1.2,2.6,0.7,51275,3282,65860,3056,58,(X),(X),(X),(X),(X),14545,686,7.6,1.7,5.3,1.6,8.9,1.7,10.5,2,15,2,18.2,2.4,14.8,1.9,12.3,2.2,5.1,1.2,2.2,0.6,53272,3698,66682,3358,(X),(X),60.5,(X),(X),(X),6633,494,1.3,1,1.4,1,4.5,1.7,10.4,2.4,14.5,3.2,21,3.9,20.2,3.8,16.2,3.8,7.6,2.4,3,1.1,71173,5405,81543,4121,(X),(X),(X),(X),(X),(X),3391,343,22.6,4.4,16.5,3.9,13.8,4.2,11.1,4.2,13.7,4,9.7,3.3,5.9,2.9,3.7,2.4,2.5,1.9,0.4,0.7,23082,3625,36337,4384,(X),(X),(X),(X),39.8,(X)
860Z200US90004,ZCTA5 90004,23047,801,5.8,1,5.7,1.2,7.3,1.2,9.4,1.1,13.6,1.8,18.9,2,11.3,1.5,11.7,1.6,5.8,1,10.5,1.6,58420,2085,103042,7502,39,(X),(X),(X),(X),(X),12161,657,5.2,1.4,2.9,1.3,6.8,1.4,11,2,13.5,2.3,17.4,2.5,10.5,1.9,12.9,2,5.3,1.3,14.6,2.4,63444,4618,121540,12359,(X),(X),44,(X),(X),(X),7719,529,3.6,1.5,2.3,1.2,5.1,1.6,8.2,1.9,10.9,2.5,16.4,3,12.9,3,14.4,2.8,7.2,1.8,19.1,3.1,81568,7299,N,N,(X),(X),(X),(X),(X),(X),10886,734,6.9,1.8,9,2,9.2,2.3,9.2,1.8,13.2,2.5,20.2,2.9,11.1,2.2,10.5,2.1,5.5,1.4,5.2,1.4,52430,3830,77364,6729,(X),(X),(X),(X),31.7,(X)
